Time_ID,Lake_ID,Lake ,Diatoms_BV,Chlorophytes_BV,Chrysophytes_BV,Cryptophytes_BV,Cyanobacteria_BV,Dinoflagellates_BV,Euglenoids_BV
T1984,L01,Blue Chalk,217,29,51,48,7,16,0
T1985,L01,Blue Chalk,229,35,70,67,18,9,0
T1986,L01,Blue Chalk,34,10,20,29,6,0,0
T1987,L01,Blue Chalk,254,70,129,100,19,7,0
T1988,L01,Blue Chalk,83,8,31,30,2,2,0
T1989,L01,Blue Chalk,91,24,21,19,5,0,0
T1990,L01,Blue Chalk,211,35,142,35,10,5,0
T1991,L01,Blue Chalk,168,20,80,55,7,1,0
T1992,L01,Blue Chalk,102,47,70,28,20,1,0
T1993,L01,Blue Chalk,207,17,168,29,13,5,0
T1994,L01,Blue Chalk,232,38,145,46,19,5,0
T1995,L01,Blue Chalk,121,26,145,17,15,24,0
T1996,L01,Blue Chalk,107,39,614,90,16,9,0
T1997,L01,Blue Chalk,83,10,77,31,12,0,0
T1998,L01,Blue Chalk,147,45,88,46,30,3,2
T1999,L01,Blue Chalk,80,34,279,46,3,14,0
T2000,L01,Blue Chalk,74,37,107,63,11,10,0
T2001,L01,Blue Chalk,43,54,179,59,6,12,0
T2002,L01,Blue Chalk,91,43,647,43,23,10,0
T2003,L01,Blue Chalk,119,34,636,44,18,11,0
T2004,L01,Blue Chalk,77,24,152,34,33,37,0
T2005,L01,Blue Chalk,87,20,108,34,11,80,0
T2006,L01,Blue Chalk,88,24,307,44,6,43,1
T2007,L01,Blue Chalk,93,10,601,45,15,77,0
T2008,L01,Blue Chalk,65,23,331,66,8,49,0
T2009,L01,Blue Chalk,93.32,12.17,706.72,37.05,5.68,28.23,0.07
T2010,L01,Blue Chalk,61.69,29.59,612.66,21.97,9.99,27.27,0.63
T2011,L01,Blue Chalk,170.49,20.41,98.17,39.17,12.19,11.36,0
T2012,L01,Blue Chalk,59.15,9.91,34.98,37.02,14.85,17.4,0
T2013,L01,Blue Chalk,468.22,27.5,59.73,69.69,6.78,0,0.2
T1984,L02,Chub,57,30,85,64,29,8,0
T1985,L02,Chub,113,47,139,79,6,10,0
T1986,L02,Chub,44,55,36,24,13,2,0
T1987,L02,Chub,72,6,49,42,0,8,0
T1988,L02,Chub,8,9,38,39,8,0,0
T1989,L02,Chub,5,10,101,29,4,1,0
T1990,L02,Chub,200,9,1412,106,2,88,0
T1991,L02,Chub,94,16,393,192,6,13,0
T1992,L02,Chub,64,9,366,26,10,18,0
T1993,L02,Chub,30,7,319,46,1,18,0
T1994,L02,Chub,5,14,113,47,30,42,0
T1995,L02,Chub,13,17,71,26,4,12,0
T1996,L02,Chub,19,42,237,52,11,21,0
T1997,L02,Chub,160,20,211,95,10,28,0
T1998,L02,Chub,52,30,376,22,13,12,0
T1999,L02,Chub,185,31,232,126,6,32,0
T2000,L02,Chub,69,71,404,89,3,12,0
T2001,L02,Chub,26,32,342,96,3,25,0
T2002,L02,Chub,83,8,593,49,1,18,0
T2003,L02,Chub,363,27,1412,196,3,0,0
T2004,L02,Chub,132,42,218,63,3,47,0
T2005,L02,Chub,88,30,267,37,28,19,0
T2006,L02,Chub,70,17,427,30,14,121,0
T2007,L02,Chub,21,33,426,65,19,92,0
T2008,L02,Chub,74,31,288,68,4,14,0
T2009,L02,Chub,24.82,17.54,119.48,87.83,5.11,109.58,0
T2010,L02,Chub,139.43,45.1,192.43,34.24,15.97,110.65,0
T2011,L02,Chub,63.43,16.38,305.61,40.77,12.09,27.42,0
T2012,L02,Chub,514.64,18.59,82.46,155.79,3.87,12.23,0
T2013,L02,Chub,29.1,10.52,187.52,20.69,13.04,23.9,0
T1984,L03,Crosson,339,14,242,62,22,15,0
T1985,L03,Crosson,20,88,168,76,38,10,0
T1986,L03,Crosson,91,25,45,20,22,8,0
T1987,L03,Crosson,39,17,123,47,7,4,0
T1988,L03,Crosson,184,2,47,16,5,7,0
T1989,L03,Crosson,71,8,68,8,6,2,0
T1990,L03,Crosson,47,22,2608,38,17,10,0
T1991,L03,Crosson,255,31,502,17,5,4,0
T1992,L03,Crosson,95,17,676,19,4,126,0
T1993,L03,Crosson,48,22,839,30,2,3,0
T1994,L03,Crosson,110,16,152,32,25,62,0
T1995,L03,Crosson,370,46,1111,38,4,100,0
T1996,L03,Crosson,129,11,2518,54,6,115,0
T1997,L03,Crosson,287,29,1461,28,12,0,0
T1998,L03,Crosson,9,25,473,21,46,0,0
T1999,L03,Crosson,74,28,374,80,6,10,0
T2000,L03,Crosson,86,24,491,48,7,6,0
T2001,L03,Crosson,4,17,345,24,3,27,0
T2002,L03,Crosson,114,20,452,41,3,36,0
T2003,L03,Crosson,65,20,790,31,18,27,0
T2004,L03,Crosson,22,19,699,19,18,3,0
T2005,L03,Crosson,59,31,651,25,15,93,0
T2006,L03,Crosson,129,61,176,37,16,70,0
T2007,L03,Crosson,89,19,236,23,27,23,0
T2008,L03,Crosson,109,70,303,58,0,38,0
T2009,L03,Crosson,195.03,24.76,234.63,27.99,17.53,41.88,0
T2010,L03,Crosson,165.51,32.2,112.45,59.35,12.9,26.8,0
T2011,L03,Crosson,86.8,14.98,141.83,20.03,61.8,19.08,0
T2012,L03,Crosson,67.29,8.57,213.05,23.47,4.73,26.38,0
